Totalen,,0,116,1:55,2:01,18,1:53,17:32
18:00,-,18:30,0,0,0,0,0,:00
17:30,-,18:00,0,0,0,0,0,:00
17:00,-,17:30,0,0,0,0,0,:00
16:30,-,17:00,0,0,0,0,0,:00
16:00,-,16:30,0,0,0,0,0,:00
15:30,-,16:00,6,:21,1:39,0,0,:35
15:00,-,15:30,12,1:07,2:19,1,:06,5:28
14:30,-,15:00,8,1:01,1:42,1,3:44,3:44
14:00,-,14:30,13,6:25,2:27,1,1:50,14:16
13:30,-,14:00,9,9:17,2:02,14,1:59,17:32
13:00,-,13:30,0,0,0,0,0,:00
12:30,-,13:00,0,0,0,0,0,:00
12:00,-,12:30,2,:04,1:46,0,0,:05
11:30,-,12:00,9,:12,1:34,0,0,1:03
11:00,-,11:30,14,:24,1:38,0,0,1:32
10:30,-,11:00,9,:15,2:07,1,:35,:35
10:00,-,10:30,9,:18,1:46,0,0,1:09
09:30,-,10:00,11,:23,1:52,0,0,1:28
09:00,-,09:30,8,1:35,2:21,0,0,4:16
08:30,-,09:00,6,:20,3:05,0,0,1:14
08:00,-,08:30,0,0,0,0,0,:00
07:30,-,08:00,0,0,0,0,0,:00
default
